abaisser	to lower/bring [sth] down/demean
s'abaisser	to go down/fall
s'abaisser à	to condescend to do [sth]
abattre [qch]	to knock [sth] down/fell/slaughter/lay [sth] down/slay/slay
abolir	to annul
absoudre [qqn]	to exonerate
s'abstenir	to abstain
s'abstenir de faire [qch]	to refrain from doing [sth]/stop doing [sth]
accepter	to accept/take [sth] on/allow [sb] in/say yes
accepter de faire [qch]	to agree to do [sth]
s'accepter	to accept yourself
acclamer	to cheer/hail
accompagner	to guide/help/accompany/go with [sth]
s'accompagner	to accompany yourself/be accompanied by [sth]
accorder [qch] à [qqn]	to give [sth] to [sb]/give [sb] [sth]
s'accorder	to be in harmony/agree/give yourself [sth]
accourir	to rush over
accrocher [qch] à [qch]	to hitch [sth] to [sth]
accrocher sur [qch]	to grip
accrocher	to stick/hang/snag/catch [sb]'s attention/have a run-in with [sb]
s'accrocher à [qch]	to hold onto [sth]
s'accrocher	to collide
accuser [qqn] de [qch]	to accuse [sb] of [sth]
s'accuser	to confess
acheter	to buy/bribe
s'acheter	to sell/buy
achever	to finish/kill
s'achever	to end
acquérir	to buy/gain/take on [sth]
s'acquérir	to earn
acquérir [qqn] à [qch]	to win [sb] over
s'adjoindre à [qch]	to be added to [sth]/join
admettre	to admit/accept/tolerate/let in/admit/admit
s'admirer	to look at yourself
adorer	to like/worship
adresser	to send/express
s'adresser à [qqn]	to ask/be aimed at [sb]
advenir	to occur/come of [sth]
affaiblir	to weaken/diminish
s'affaiblir	to weaken
agacer	to annoy/tease
agir	to act/behave/take its course
agir sur [qch]	to affect
s'agir de [qch]	to be
s'agir de faire [qch]	to be a case of doing [sth]/must do
s'agir	to must
aider (à)	to help (to do [sth])
s'aider	to help each other
s'aider de [qch]	to use
aimer	to love/like
aimer que + [subjonctif]	to like [sb] to do [sth]
s'aimer	to love each other/love yourself
ajouter	to add/put another
ajouter à	to add to [sth]
s'ajouter	to be added
aller	to go/lead/be/work
aller à [qqn]	to suit
aller avec [qch]	to go with [sth]
aménager	to convert/build/adjust
amener	to bring/take/lower
(s')amuser (à faire [qch])	to amuse (yourself doing [sth])
s'amuser	to play/mess around
animer	to lead/stir/bring to life/animate/drive
s'animer	to liven up
annoncer [qch] à [qqn]	to announce
annoncer	to herald/forecast
s'annoncer	to declare yourself
apercevoir	to glimpse/be aware of/see
s'apercevoir de	to notice
s'apercevoir	to be able to be seen
apparaître	to come into being/appear/reveal yourself/seem
appartenir à	to belong to [sb]/be up to [sb]
ne plus s'appartenir	to be out of control
appeler	to call/phone
appeler de	to appeal against [sth]
s'appeler	to be called/talk
en appeler à	to appeal to
apporter	to bring/take/bear/provide/put
apporter [qch] à [qch]	to add [sth] to [sth]
apprendre	to learn
apprendre [qch] à [qqn]	to teach [sb] [sth]/tell [sb] about [sth]
approcher	to come up to/be coming/contact/move [sth] nearer/be nearly [sth]
approcher de [qch]	to be almost/near
s'approcher	to get closer/be close to [sth]/echo
approuver	to approve of [sb]/approve of [sth]
armer	to arm/equip/pit/dub/fit
s'armer	to arm yourself
arracher	to remove/wrest/rouse
s'arracher	to be torn off
s'arracher à [qch]	to rouse yourself from [sth]
arraisonner	to inspect
arranger	to arrange/settle/suit/organize/fantasize
s'arranger	to improve/manage/reach an agreement/cope
arrêter	to halt/turn [sth] off/hold [sb] back/cut [sb] off/waylay/arrest/settle on
s'arrêter	to end/stop
s'arrêter de faire [qch]	to stop doing [sth]
s'arrêter sur	to dwell on/settle on [sth]
arriver	to come/reach/draw near/turn
arriver à [qch]	to reach/come to [sth]
assaillir [qqn] (de [qch])	to assail
assister	to aid/be with
assister à [qch]	to see/attend
assurer [qch]	to insure/assure/ensure/handle/secure
s'assurer	to insure yourself
s'assurer que	to check
s'assurer de [qch]	to ensure
(s')astreindre	to make (yourself do [sth])
attaquer	to attack/rob/criticize/damage/head for
s'attaquer à [qch]	to criticize/attack
atteindre	to reach/meet/harm
attendre	to wait
attendre [qch] de [qqn]	to want [sth] from [sb]
s'attendre à [qch]	to expect
attirer	to attract/coax/tempt/bring
attraper	to catch/capture
s'attraper	to be caught/catch
augmenter	to increase/heighten
s'augmenter	to grow
avancer	to move/progress/be fast/jut out/help [sb] to get on more quickly/lend/pull [sth] up/stick [sth] out/bring [sth] forward/claim
avancer que + [indicatif/conditionnel]	to suggest + [indicative]
s'avancer	to go forward/get ahead
aventurer	to risk
s'aventurer quelque part	to venture to somewhere
s'aventurer à faire [qch]	to venture to do [sth]
avoir	to own/contain/feel/be
baisser	to lower/cut/go down/dim
se baisser	to duck/go down
balancer	to rock/balance
se balancer	to rock
balayer	to sweep
bâtir	to build
battre	to hit/whisk/defeat/flap
se battre	to fight
battre de	to beat
bavarder	to chat/gossip
bêler	to bleat
bénir	to bless
blaguer sur	to joke
blâmer	to condemn/give [sb] an official warning
blanchir	to pale/whiten/whitewash
se blanchir	to clear your name
blesser [qqn]	to hurt
se blesser	to hurt yourself
boire	to drink/take in fluids
se boire	to be drunk
bouger	to move/be dynamic/be loose/fade/act
bouillir	to boil
(se) briser	to break
brosser [qch]	to brush/outline
se brosser [qch]	to brush your [sth]
broyer	to grind
brûler	to burn/set fire to/go through/discredit
se brûler	to be burnt
cacher	to hide/mask/suppress
se cacher	to hide
casser	to break/knock [sth] through/demote
se casser ([qch])	to break
causer	to make/talk
céder	to collapse/give in
céder [qch] à [qqn]	to sell [sth] to [sb]/pass [sth] on to [sb]
céder à	to give in to
célébrer	to perform
cesser (de faire [qch])	to stop
changer	to change/be different/replace
changer [qch] en [qch]	to turn [sth] into [sth]/change [sth] for [sth]
changer de [qch]	to alter/switch
se changer	to change
se changer en	to become
chanter	to sing/sound/lift your spirits
charger	to load/charge/testify against [sb]/take
charger [qqn] de [qch]	to give [sb] [sth] to do
se charger de [qch]	to see to [sth]
se charger de faire [qch]	to will do [sth]
se charger	to charge
chasser	to go hunting/chase/blow/get rid of [sth]/dismiss/pull
cheminer	to walk/advance
chercher	to try to find [sth]/look/try to remember/try to think
se chercher	to look for each other
choisir	to select/appoint
chuchoter	to whisper
circoncire [qqn]	to circumcise
circonscrire	to contain/fix
circonvenir [qch]	to ring
clore	to close/shut off
coller	to stick/push
coller à [qqn]	to stick to [sb]/follow too closely behind [sb]
se coller	to huddle together/be stuck doing [sth]
(se) combattre	to fight
commander à [qqn] de faire [qch]	to tell [sb] to do [sth]
se commander	to be controllable
commencer	to start/take up
commencer par [qch]	to lead with
commettre	to commit
commettre [qqn] à [qqn]	to appoint [sb] [sb]
comparaître	to go before
comparer	to compare
compléter	to complete/complete/finish [sth] off/supplement/fill [sth] in/expand on [sth]
se compléter	to complement each other/be coming together
comprendre	to understand/include/consist of/interpret
se comprendre	to be understandable/understand each other
compter	to count/add up/have/allow/charge/keep an eye on [sth]
compter faire [qch]	to mean to do [sth]
compter sur [qch]	to expect
concevoir	to design/perceive/understand/feel
se concevoir	to be devised/be conceivable
conclure	to end/finalize/conclude/sum up/finish up
conclure à	to decide
se conclure	to end
concourir	to enter/contribute
conduire	to drive/lead/conduct/head/perform
se conduire	to behave
confire [qch]	to comfit
confondre	to confuse/foil/combine/astound
se confondre	to become mixed up
se confondre avec [qch]	to merge into [sth]
(se) connaître	to know (each other)
connaître [qch]	to know
conquérir	to conquer/win [sb] over
conseiller	to guide/advise/suggest/guide
conseiller [qch] à [qqn]	to recommend [sth] to [sb]
conseiller [qqn] sur [qch]	to advise [sb] on [sth]
consentir	to grant
consentir à	to agree to [sth]
considérer	to consider/respect/view
se considérer	to to be
consommer	to have/use
construire	to build/elaborate
se construire	to be built up/shape your personality/be formed
contenir	to hold
se contenir	to contain yourself
conter	to tell
continuer	to carry on/keep going with [sth]
continuer à faire [qch]	to keep
continuer de faire [qch]	to still do [sth]
se continuer	to continue
contraindre [qqn] à faire [qch]	to force [sb] to do [sth]
contredire	to contradict/be at odds with
se contredire	to contradict yourself
contrevenir à	to break
contrôler	to inspect/curb/master/be in charge of [sth]
se contrôler	to control yourself
convaincre [qqn] (de faire [qch])	to convince ([sb] to do [sth])
se convaincre de [qch]	to be persuaded of [sth]
convenir à [qch]	to suit/be adapted to [sth]/suit/suit
convenir que	to admit
convenir de faire [qch]	to agree to do [sth]
se convenir	to be well suited
correspondre à [qch]	to equal/match/tally with [sth]
correspondre	to match/be linked
corriger	to fix
corrompre	to bribe/subvert/adulterate
se corrompre	to be corrupted
coucher	to sleep/put [sb] to bed/lay [sth] down
se coucher	to go to bed/tip over/be flattened
coudre	to sew
couper	to cut/close/cross/blend/play a trump/block [sb] off
se couper	to cut yourself/cross/contradict yourself
courir	to run/sprint/take/race/be in effect/sail
courir à	to be heading for [sth]
courir après	to chase
coûter ([qch] à [qqn])	to cost ([sb] [sth])
couvrir	to cover/put a lid on [sth]/compensate for [sth]/drown [sth] out/include/serve/extend over/protect/insure/be all over [sth]/run/mate with [sth]
se couvrir	to become overcast/cover up/put a hat on
se couvrir de [qqn]	to fill with [sth]
craindre que + [subjonctif]	to be worried + [indicative]
craindre	to be risky/be afraid of [sth]/not like [sth]
créer	to design/bring into being
se créer	to be created/invent
crier	to call/yell/clash
croire que + [indicatif]	to think
croire	to think/believe/believe
croire à	to believe in [sb]
croire en [qqn]	to believe in [sb]
se croire	to think
cueillir	to pick
cuire	to fire/dry [sth] out
culpabiliser	to feel guilty
danser	to dance
débattre de	to debate
débattre	to haggle over
se débattre	to struggle
décevoir	to let [sb] down
(se) déchirer	to rip
décider	to decide on [sth]/decide
décider de (faire [qch])	to decide (to do [sth])
